COSMETIC_REPORT_SEQ,ITEM_NAME,ENTP_NAME,report_date
2013011947,한율고결미백선크림,(주)아모레퍼시픽,2013-02-15 00:00:00
2013012018,소라비밸런싱선크림,(주)아마란스,2013-02-15 00:00:00
2013012216,설화수수율선크림,(주)아모레퍼시픽,2013-02-15 00:00:00
2013012311,선크림에스피에프50선블럭,테라에코,2013-02-15 00:00:00
2013012315,카모밀라선크림,(주)더마피아바이오앤뷰티,2013-02-15 00:00:00
2013012410,마몽드데일리모이스처선크림,(주)아모레퍼시픽,2013-02-18 00:00:00
2013012411,마몽드데일리베이스플러스선크림,(주)아모레퍼시픽,2013-02-18 00:00:00
2013012416,효시아데일리선크림,(주)아모레퍼시픽,2013-02-18 00:00:00
2013012431,한율은결선크림,(주)아모레퍼시픽,2013-02-18 00:00:00
2013012563,해피바스해피키즈야외놀이선크림,(주)아모레퍼시픽,2013-02-18 00:00:00
2013013044,샤라샤라올데이산뜻선크림,(주)카버코리아,2013-02-19 00:00:00
2013013305,바비펫수분촉촉워터드롭선크림,(주)데레온코스메틱,2013-02-20 00:00:00
2013013307,아리얼유브이세이프티코튼선크림,(주)뷰티팩토리,2013-02-20 00:00:00
2013013318,바비펫인디걸티트리트러블캐치선크림,(주)데레온코스메틱,2013-02-20 00:00:00
2013013322,바비펫시크릿레시피끈적이지않는선크림,(주)데레온코스메틱,2013-02-20 00:00:00
2013013364,바비펫티트리잇트러블캐치선크림(에스피에프35/피에이++),(주)데레온코스메틱,2013-02-20 00:00:00
2013013437,피톤치드선크림,(주)내츄럴코리아,2013-02-21 00:00:00
2013013649,프라셀선제로선크림에스피에프50+피에이++,(주)프라셀,2013-02-21 00:00:00
2013013670,자빈큐텐아스타크선크림,(주)해피엘앤비,2013-02-22 00:00:00
2013013700,이시오에프레쉬선크림,(주)화진화장품,2013-02-22 00:00:00
2013013715,미가비앱솔루트슈프림선크림,(주)미가코스메틱,2013-02-22 00:00:00
2013013781,프로랑스아쿠아플러스선크림,(주)프로랑스화장품,2013-02-22 00:00:00
2013013893,이노이브플러스울트라선크림,이노이브코리아(주),2013-02-22 00:00:00
2013013916,다보프리미엄인텐스샤이닝선크림에스피에프50+피에이+++,(주)넥슨화장품,2013-02-25 00:00:00
2013013934,로티레브소프트터치선크림에스피에프50+피에이+++,(주)한국자이화장품,2013-02-25 00:00:00
2013013939,푸드어홀릭내추럴롱래스팅선크림,베로베(주),2013-02-25 00:00:00
2013013956,에뿌에브리데이페펙트선크림,베로베(주),2013-02-25 00:00:00
2013014368,리니시에더블유389크리스탈화이트선크림에스피에프32피에이++,(주)유니베라,2013-02-27 00:00:00
2013014385,팸퍼드걸선크림,(주)한국쉬즈라인,2013-02-27 00:00:00
2013014425,더샘에코어스카렌듈라페이스앤바디선크림,(주)더샘인터내셔날,2013-02-27 00:00:00
2013014472,해피바스아쿠아선크림,(주)아모레퍼시픽,2013-02-27 00:00:00
2013014505,설화수정양선크림,(주)아모레퍼시픽,2013-02-27 00:00:00
2013014642,바비펫슈퍼유브이디펜스선크림(에스피에프50/++),(주)데레온코스메틱,2013-02-28 00:00:00
2013014999,맨즈시크릿엑스퍼트유브이선크림,(주)쿠지인터내셔널,2013-03-05 00:00:00
2013015002,쿠지오토스키니선크림,(주)쿠지인터내셔널,2013-03-05 00:00:00
2013015027,아리따움파라솔파워풀선크림,(주)아모레퍼시픽,2013-03-05 00:00:00
2013015252,에코어스카렌듈라라이트선크림,(주)더샘인터내셔날,2013-03-07 00:00:00
2013015341,3제이알로에위드아이디얼선크림,(주)테라선,2013-03-07 00:00:00
2013015874,나이스휘크렘솔레르앙팡어린이선크림,청호나이스(주),2013-03-13 00:00:00
2013015985,바세린울트라프로텍터페이스앤바디선크림,애경산업(주),2013-03-14 00:00:00
2013016117,비앤에프비저블이펙트세범프리선크림,애경산업(주),2013-03-14 00:00:00
2013016510,디28지지트윙클허니선크림,(주)파이온텍,2013-03-21 00:00:00
2013016629,메가비앱솔루트슈프림선크림,(주)지에스엘,2013-03-22 00:00:00
2013016642,알로에베라선크림,(주)알로에베라코리아,2013-03-22 00:00:00
2013016732,베리떼아쿠아선크림,(주)아모레퍼시픽,2013-03-25 00:00:00
2013016830,참인셀멀티선크림,(주)참존,2013-03-26 00:00:00
2013016872,지니내추럴비비선크림,(주)지니디지로그,2013-03-26 00:00:00
2013016887,오션마일드선크림포키즈,한국화장품(주),2013-03-27 00:00:00
2013016888,이뎀마일드선크림포키즈,한국화장품(주),2013-03-27 00:00:00
2013016899,레드진사이언스오브랑퍼펙트에센셜선크림,(주)케이지씨라이프앤진,2013-03-27 00:00:00
2013016900,레드진사이언스오브랑마일드에센셜선크림,(주)케이지씨라이프앤진,2013-03-27 00:00:00
2013017034,스마트내추럴선크림에스피에프50/피에이+++,엘디아,2013-03-29 00:00:00
2013017044,아벤앱솔루트선크림,(주)케이심바이오,2013-03-29 00:00:00
2013017135,어퓨퓨어블록내추럴데일리선크림,(주)에이블씨엔씨,2013-04-01 00:00:00
2013017364,슈퍼유브이프로텍션선크림,(주)갤럭시인터네셔날,2013-04-03 00:00:00
2013017428,더연설렘가득연꽃선크림,(주)더연,2013-04-04 00:00:00
2013017481,아이오페화이트젠선크림,(주)아모레퍼시픽,2013-04-04 00:00:00
2013017622,아이미스퍼펙트유브이선크림,(주)아이미스,2013-04-09 00:00:00
2013017682,코리아나마일드유브이키즈선크림,(주)코리아나화장품,2013-04-09 00:00:00
2013017818,바비걸즈끈적이지않는선크림,(주)데레온코스메틱,2013-04-10 00:00:00
2013018184,에코어스카렌듈라파워선크림,(주)더샘인터내셔날,2013-04-18 00:00:00
2013018197,분스올프루프선크림에스피에프50+피에이+++,(주)이마트,2013-04-18 00:00:00
2013018220,애터미선크림,애터미(주),2013-04-18 00:00:00
2013018260,닥터엠엘이유브이선크림,(주)네오팜,2013-04-19 00:00:00
